mean.percentage.abundances	standard.deviation
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__RF16	0.0228919647331203	0.167222268213263
k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae	0.0199209044137114	0.0827175072925288
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__	0.016280468696298	0.0930236744924697
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae	0.0140873146840934	0.0746816534258769
k__Bacteria; p__Tenericutes; c__CK-1C4-19; o__; f__	0.0118117033389652	0.0834964137150355
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__	0.0115206508124575	0.0268587376773591
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae	0.00988693037621479	0.0684895063342858
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__	0.00942205742314282	0.0587814275314677
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Sphaerochaetales; f__Sphaerochaetaceae	0.00897112184408538	0.0626998266027551
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0.00817006953230734	0.0469345073984031
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__	0.00774304385841635	0.0139630337232803
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae	0.00751833914059445	0.0180193478019949
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__	0.00733768406140613	0.0133942216216972
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]	0.00714866627835326	0.0202625001089647
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae	0.00636739143263312	0.0265837109113463
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	0.00634703410382651	0.00996013898571278
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae	0.00567995232262121	0.0360523009872582
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae	0.004798339254412	0.0167201993299635
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__	0.0041927808013708	0.0214246438000547
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Z20; f__R4-45B	0.00388778240069647	0.0313053650127284
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae	0.00361337356577339	0.0137197863773012
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__	0.00343465707284076	0.029263263959191
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae	0.00325731574225576	0.0102466985382502
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae	0.00301519930611462	0.0269728157433045
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae	0.00265656949649421	0.0196892114547819
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.00247193950829032	0.0179088375760135
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae	0.00242698106749099	0.00486008465728047
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae	0.00227823281025139	0.0195782622480253
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae	0.00210993283898448	0.00812077221369187
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae	0.00178639798651556	0.00410758959039239
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.00164832774600532	0.00309823422006999
